target_attribute,bal_acc,auc,regime,debiased_concept,method,debias_layer,ba_raw,delta_ba,n_iterations,n_layers
arched_eyebrows,0.5763514201364146,0.6030744171841597,single,chubby,diff_means,3,0.5739590756388069,0.0023923444976077235,,
attractive,0.5056326187473729,0.5503993274485077,single,chubby,diff_means,3,0.5056326187473729,0.0,,
bags_under_eyes,0.49886363636363634,0.43799715909090914,single,chubby,diff_means,3,0.49261363636363636,0.006249999999999978,,
bald,0.6678204214598391,0.7910007126132546,single,chubby,diff_means,3,0.6784587193321796,-0.010638297872340496,,
bangs,0.7819345311346295,0.8816145705143982,single,chubby,diff_means,3,0.7819345311346295,0.0,,
big_lips,0.5012082158679018,0.4881192106322996,single,chubby,diff_means,3,0.5038260169150222,-0.002617801047120394,,
big_nose,0.5979064039408867,0.6477216748768473,single,chubby,diff_means,3,0.5979064039408867,0.0,,
black_hair,0.7421875,0.8755696614583333,single,chubby,diff_means,3,0.7421875,0.0,,
blond_hair,0.8910903273443269,0.9374846172778735,single,chubby,diff_means,3,0.8910903273443269,0.0,,
blurry,0.657103825136612,0.6407103825136612,single,chubby,diff_means,3,0.6174863387978142,0.0396174863387978,,
brown_hair,0.6638655462184874,0.8186274509803921,single,chubby,diff_means,3,0.6596638655462185,0.004201680672268893,,
bushy_eyebrows,0.5298092209856916,0.5086115527291998,single,chubby,diff_means,3,0.5298092209856916,0.0,,
chubby,0.65625,0.768798828125,single,chubby,diff_means,3,0.65625,0.0,,
double_chin,0.605072463768116,0.7037288647342994,single,chubby,diff_means,3,0.6105072463768115,-0.005434782608695565,,
eyeglasses,0.8911807847451412,0.9598459845984598,single,chubby,diff_means,3,0.8911807847451412,0.0,,
goatee,0.61489898989899,0.7431186868686869,single,chubby,diff_means,3,0.6265151515151515,-0.011616161616161524,,
gray_hair,0.7805017921146953,0.8957706093189964,single,chubby,diff_means,3,0.7805017921146953,0.0,,
heavy_makeup,0.5490559052202888,0.6123657904479822,single,chubby,diff_means,3,0.5444896951746266,0.004566210045662156,,
high_cheekbones,0.4745073891625616,0.4010467980295567,single,chubby,diff_means,3,0.4745073891625616,0.0,,
male,0.981283422459893,0.9769820971867008,single,chubby,diff_means,3,0.981283422459893,0.0,,
mouth_slightly_open,0.4988702290076336,0.4747480916030534,single,chubby,diff_means,3,0.4988702290076336,0.0,,
mustache,0.7272218876365826,0.8305945108835929,single,chubby,diff_means,3,0.735696463907769,-0.008474576271186418,,
narrow_eyes,0.6110370863868532,0.6158116811014879,single,chubby,diff_means,3,0.608927381745503,0.002109704641350185,,
no_beard,0.5394068069227305,0.5675223573312744,single,chubby,diff_means,3,0.5362220935469343,0.0031847133757961776,,
oval_face,0.507145859604876,0.491046658259773,single,chubby,diff_means,3,0.5045817570407735,0.002564102564102555,,
pale_skin,0.6195121951219512,0.8004065040650407,single,chubby,diff_means,3,0.6195121951219512,0.0,,
pointy_nose,0.5202020202020202,0.4928030303030303,single,chubby,diff_means,3,0.5202020202020202,0.0,,
receding_hairline,0.4884405212274065,0.5389659520807062,single,chubby,diff_means,3,0.49663724253888186,-0.008196721311475363,,
rosy_cheeks,0.6608103830326053,0.7600506489395378,single,chubby,diff_means,3,0.6566951566951567,0.004115226337448652,,
sideburns,0.5889407061958695,0.6155896069287142,single,chubby,diff_means,3,0.5889407061958695,0.0,,
smiling,0.8338827838827838,0.938949938949939,single,chubby,diff_means,3,0.83003663003663,0.0038461538461538325,,
straight_hair,0.45401493930905695,0.4841269841269842,single,chubby,diff_means,3,0.4561157796451914,-0.0021008403361344463,,
wavy_hair,0.6076329331046312,0.5866209262435678,single,chubby,diff_means,3,0.6076329331046312,0.0,,
wearing_earrings,0.6930757414628382,0.7737209027531607,single,chubby,diff_means,3,0.7058962542833511,-0.012820512820512886,,
wearing_hat,0.8706687730384413,0.9156398104265402,single,chubby,diff_means,3,0.8706687730384413,0.0,,
wearing_lipstick,0.4608322026232474,0.45481682496607867,single,chubby,diff_means,3,0.45585707824513794,0.004975124378109486,,
wearing_necklace,0.5605876393110436,0.6577507598784194,single,chubby,diff_means,3,0.6082066869300912,-0.04761904761904756,,
wearing_necktie,0.622719181130396,0.6437472185135736,single,chubby,diff_means,3,0.6297285269247885,-0.007009345794392496,,
young,0.8488514173998045,0.9230816226783969,single,chubby,diff_means,3,0.8528836754643205,-0.004032258064516014,,
5_o_clock_shadow,0.5462121212121211,0.5628787878787879,single,chubby,diff_means,4,0.543939393939394,0.002272727272727204,,
arched_eyebrows,0.5739590756388069,0.6034816247582205,single,chubby,diff_means,4,0.5739590756388069,0.0,,
attractive,0.5056326187473729,0.551744430432955,single,chubby,diff_means,4,0.5056326187473729,0.0,,
bags_under_eyes,0.49261363636363636,0.4354758522727273,single,chubby,diff_means,4,0.49261363636363636,0.0,,
bald,0.6678204214598391,0.7911025145067698,single,chubby,diff_means,4,0.6784587193321796,-0.010638297872340496,,
bangs,0.7798424809254245,0.88112232340635,single,chubby,diff_means,4,0.7819345311346295,-0.0020920502092049986,,
big_lips,0.5038260169150222,0.4919855014095852,single,chubby,diff_means,4,0.5038260169150222,0.0,,
big_nose,0.5979064039408867,0.6475985221674877,single,chubby,diff_means,4,0.5979064039408867,0.0,,
black_hair,0.7421875,0.8754069010416667,single,chubby,diff_means,4,0.7421875,0.0,,
blond_hair,0.8889982771351218,0.9372384937238495,single,chubby,diff_means,4,0.8910903273443269,-0.0020920502092051096,,
