layer_id,k_steps,run_id,model,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc
7,4,3,XGBoost,1.0,1.0,1.0,0.59375,0.5968992248062015,0.64984130859375
7,4,4,XGBoost,1.0,1.0,1.0,0.58984375,0.6096654275092936,0.6497802734375
7,5,0,XGBoost,1.0,1.0,1.0,0.60546875,0.6273062730627307,0.654541015625
7,5,1,XGBoost,1.0,1.0,1.0,0.60546875,0.6273062730627307,0.65093994140625
7,5,2,XGBoost,1.0,1.0,1.0,0.6015625,0.6277372262773723,0.66119384765625
7,5,3,XGBoost,1.0,1.0,1.0,0.59375,0.6090225563909775,0.65289306640625
7,5,4,XGBoost,1.0,1.0,1.0,0.5859375,0.5923076923076923,0.655517578125
7,6,0,XGBoost,1.0,1.0,1.0,0.58984375,0.6067415730337079,0.63238525390625
7,6,1,XGBoost,1.0,1.0,1.0,0.6015625,0.6165413533834586,0.63787841796875
7,6,2,XGBoost,1.0,1.0,1.0,0.609375,0.609375,0.63104248046875
7,6,3,XGBoost,1.0,1.0,1.0,0.67578125,0.710801393728223,0.71209716796875
7,6,4,XGBoost,1.0,1.0,1.0,0.61328125,0.6451612903225806,0.65057373046875
7,7,0,XGBoost,1.0,1.0,1.0,0.6484375,0.6590909090909091,0.662841796875
7,7,1,XGBoost,1.0,1.0,1.0,0.609375,0.6240601503759399,0.66668701171875
7,7,2,XGBoost,1.0,1.0,1.0,0.59765625,0.6083650190114068,0.62933349609375
7,7,3,XGBoost,1.0,1.0,1.0,0.58984375,0.6153846153846154,0.62750244140625
7,7,4,XGBoost,1.0,1.0,1.0,0.58984375,0.6181818181818182,0.619873046875
7,8,0,XGBoost,1.0,1.0,1.0,0.625,0.616,0.66473388671875
7,8,1,XGBoost,1.0,1.0,1.0,0.55859375,0.5637065637065637,0.58795166015625
7,8,2,XGBoost,1.0,1.0,1.0,0.62109375,0.6420664206642066,0.68597412109375
7,8,3,XGBoost,1.0,1.0,1.0,0.59375,0.6090225563909775,0.60833740234375
7,8,4,XGBoost,1.0,1.0,1.0,0.55078125,0.5787545787545788,0.6136474609375
7,9,0,XGBoost,1.0,1.0,1.0,0.58203125,0.6164874551971327,0.65606689453125
7,9,1,XGBoost,1.0,1.0,1.0,0.62109375,0.6367041198501873,0.6431884765625
7,9,2,XGBoost,1.0,1.0,1.0,0.6015625,0.6076923076923076,0.6361083984375
7,9,3,XGBoost,1.0,1.0,1.0,0.60546875,0.6273062730627307,0.62054443359375
7,9,4,XGBoost,1.0,1.0,1.0,0.55078125,0.5787545787545788,0.5733642578125
7,10,0,XGBoost,1.0,1.0,1.0,0.5546875,0.5808823529411765,0.61260986328125
